id,band,title,year
1,1,Taste the Hate,2014
2,3,The Bringer of Death,2014
3,4,Deception| Calculate What You Can't See,2005
4,7,Inti Huacay,1998
5,7,Génesis & horror,2002
6,7,Vision,2004
7,7,Neo-ritual,2005
8,7,Vox Fatum,2007
9,7,Brutal Miserable Drama,2010
10,7,Inexorable,2013
11,7,Implacable utopía,2016
12,8,I've Heard That Once Before,2004
13,8,Cries of Terror,2004
14,11,The Book of Sorrows,2002
15,13,9,2009
16,14,Apocatastasis Reversed,2007
17,15,Suffering,2010
18,16,Of Pain and Blood,2011
19,16,Hecatomb,2013
20,18,Decapitated,2000
21,18,We Walk This Earth (Revelations of the Dead),2001
22,18,Rituals of the Dead,2003
23,18,Beneath the Sorrow,2006
24,18,Time to Kill,2008
25,18,More Heads Severed,2009
26,18,Demons from Within,2010
27,18,The Things Death Brings,2011
28,18,Murder Them,2012
29,18,Human Kind Dies,2014
30,18,Strangulation,2016
31,19,...and Blood Was Shed,2011
32,19,Swallowed by the Oceans,2016
33,20,La venjança ens fa viure,2013
34,21,Beyond Pain Threshold,2004
35,21,No One Said It Would Be Easy,2007
36,23,Official Cover,2000
37,23,Elliptic White Square,2001
38,23,The Musical Body,2002
39,23,No Cover Available,2003
40,23,Five Songs from Us,2004
41,23,Four Songs from Us,2005
42,27,Abaddon,2015
43,28,Tell to Your God I Have Won Again,2009
44,30,Armageddon,2008
45,32,Funkin' Murderers,1995
46,43,Virtus Diaboli,2013
47,44,Di Humani Corporis Fabrica,2003
48,45,No creyente,2015
49,50,The Morgue| the Merrier,2008
50,50,T-Minus,2009
51,50,Time Is the Perfect Gift,2011
52,50,El Solo Lobo,2015
53,51,Itihasa Purushartas,2015
54,53,When Depravity Incarnates,2011
55,60,You Only Die Once,2015
56,61,Miasmic Mutation,2015
57,63,Faces of Death,2001
58,69,Still Breathing in the Mass Grave,2007
59,72,I'm a Monster,2005
60,79,Globalisierungswahn,2004
61,87,Rites of the Eternal Hate,2000
62,87,Doutrine of False Martyr,2003
63,88,Altar Fúnebre,2015
64,89,Chaos Unleashed,1995
65,93,The Purity of Perversion,1999
66,93,Engineering the Dead,2001
67,93,Goremageddon: The Saw and the Carnage Done,2003
68,93,The Archaic Abattoir,2005
69,93,Slaughter & Apparatus: A Methodical Overture,2007
70,93,Strychnine.213,2008
71,93,Global Flatline,2012
72,93,The Necrotic Manifesto,2014
73,93,Retrogore,2016
74,94,Until Then| What's to Believe?,2007
75,98,Judge Me Not,1999
76,98,Process of Elimination,2001
77,100,Abramelin,1995
78,100,Deadspeak,2000
79,101,Violent Core Traction,2006
80,102,Damnation,2011
81,107,Grave Offerings,2015
82,110,Morbopraxis,2002
83,112,Audi ... Vide ... Sile,2005
84,113,Mental Battle Resurrection,2007
85,117,IX,2016
86,120,Inside Out-Life,1999
87,121,Dealing with Pain,2010
88,124,Visions in Bloodred,2002
89,132,Habeas Corpus,2011
90,141,From Ashes,2006
91,141,Programmed to Consume,2008
92,141,Leveling the Plane of Existence,2011
93,141,Obsolescence,2014
94,143,Strange Rites,2012
95,145,The Bible of Hate,2010
96,146,Fragments of Insanity,2005
97,147,Dusk of Gods,2005
98,148,Mayhemic Dominions,2016
99,150,Chronicles of the Doomed Worlds – Part I: Enlightenment from Beyond,2015
100,154,...Smouldering,2013
101,156,Into the Abyss,2015
102,162,Acefalia,2009
103,162,Estupro da Essência Humana,2014
104,169,My Hope Is in You,1999
105,169,Schwarzwald,2002
106,179,Radioactive Grind,1992
107,180,Engraved in Black,1993
108,180,Sentenced,1995
109,181,Stench of Centuries,2004
110,181,Maat,2006
111,184,Melquisedec,2010
112,184,Essence of Impurity,2014
113,190,Scorn Aesthetics,2012
114,193,Destroyer Characters,2013
115,195,Recipe for the Sick,2008
116,196,Stench of Decay,2014
117,198,Living Through Blood,2001
118,202,Psychostasia,1996
119,202,Pure Blood Doom,1999
120,202,Terror of Thousand Faces,2005
121,205,Lamb of Disease,2005
122,206,Bleeding the False,2005
123,206,Rise to Dominate,2007
124,206,Path of Fire,2010
125,206,Aeons Black,2012
126,208,The Hour of Desolation,2008
127,208,The Parasite,2013
128,211,Безжальність,2012
129,211,Виключення недомінантного матеріалу,2016
130,212,From Blackest Darkness,1995
131,213,Semper Tyranis,2005
132,213,Psychotic,2006
133,213,One Kill Slaughterhouse,2014
134,216,Aeon of Nox (From Darkness Comes Liberation),2009
135,217,New Hope Is Dead,2005
136,222,Dawn of Enthrallment,2014
137,222,Tomb of Kings,2016
138,225,Surreality,1992
139,228,Jugando a ser Dios,2016
140,230,World in Flames,2010
141,231,War| Hate| Blasphemy,2005
142,231,Follow the Way of Hate,2008
143,231,Machinery of Hatred,2011
144,231,Death Metal Artillery,2014
145,231,For the Forgotten,2016
146,234,AOR,2001
147,240,Live Eternally,2008
148,240,Crisis,2010
149,240,Death Follows Me,2013
150,245,Morbid Embracement,2012
151,246,Violence Procreation,2008
152,253,Introspective,1999
153,254,Ashes to Ashes| Dust to Dust,1999
154,254,Call the Rain,2003
155,254,My Turn to Die,2004
156,255,Look into the Silence,1996
157,256,March of the Divine,2015
158,257,The Sun of the Cursed,1997
159,257,Nihilist Passion,1999
160,257,A Tomb for the Haunted,2012
161,258,Demonstration of Evisceration,2014
162,259,Sick,2005
163,259,The Fire Inside,2008
164,263,Extremophilia,2015
165,265,Delusions,1994
166,273,Searching the Myths of the Past,1997
167,275,Ajatus,2014
168,275,Blood 666,2016
169,276,Akagrish,2013
170,278,Cegado,2007
171,278,Mirando al cielo,2015
172,283,Shrouds of the Final Nothing,2007
173,284,Alabaster Morgue,2008
174,285,Monument of Destruction,2003
175,289,Green Valley,2003
176,289,Era,2011
177,292,Grande Trono Branco,2005
178,295,Desecrated,2013
179,296,Until Someone Gets Hurt,2002
180,298,Light & shades,2003
181,299,The Inferno,2007
182,305,The Beginning of Damnation,2011
183,306,Juzgados,2014
184,307,Courage to Humility,2008
185,309,Youth Against Christ,1994
186,309,Ego Art,1996
187,309,Provoke,1998
188,309,In the Name of the Father,1999
189,309,Red Harvest,2001
190,311,Vilified,2009
191,312,A Bloodfeast for the Dead,2007
192,313,The Ritual Has Begun,2011
193,316,Paramnesia,2013
194,317,Hymns to the Dead,2011
195,319,All for Satan,2008
196,321,Altered Dead,2016
197,322,Eye-conic,2014
198,329,The Splinters,2004
199,329,Pornomechanoid,2006
200,329,Silicone Magic,2010
